ntn,name,business,capital
6753772-5,Capital (Pvt) Ltd,Logistics,50000000.0
5195098-1,Metro Traders,Textile,50000000.0
4545177-3,Allied Enterprises,Textile,50000000.0
1883809-6,Premier Builders,IT Services,500000000.0
6259561-3,Pak Traders,Construction,50000000.0
7458536-8,Metro Builders,Pharmaceuticals,50000000.0
5018244-2,Royal Traders,Import/Export,500000000.0
6525504-4,Summit Industries,Food & Beverage,50000000.0
8122116-4,Crescent (Pvt) Ltd,Food & Beverage,50000000.0
5020403-6,Premier Builders,Textile,50000000.0
6793338-8,Global Associates,Logistics,50000000.0
8427312-7,Premier Industries,Pharmaceuticals,50000000.0
3809139-0,Summit (Pvt) Ltd,Pharmaceuticals,50000000.0
4367405-7,United (Pvt) Ltd,Trading,50000000.0
9889879-4,Pak Enterprises,Logistics,50000000.0
8586071-5,Pak Holdings,Pharmaceuticals,500000000.0
6475089-1,Metro Traders,Logistics,50000000.0
9917209-9,Crescent Associates,Logistics,500000000.0
4009564-2,United Enterprises,Real Estate,50000000.0
3626775-6,Metro International,Food & Beverage,50000000.0
3887141-7,Pak Industries,Pharmaceuticals,50000000.0
5144351-2,Allied (Pvt) Ltd,Construction,50000000.0
2873597-5,Premier International,Textile,50000000.0
9676075-3,Crescent Traders,Real Estate,500000000.0
5163767-3,Allied Traders,Construction,50000000.0
7886615-9,Summit Builders,IT Services,50000000.0
3055997-1,Crescent Holdings,Logistics,500000000.0
6354126-6,Apex Holdings,Trading,50000000.0
4376853-4,Allied Traders,Pharmaceuticals,50000000.0
3807820-7,Global Associates,Construction,50000000.0
1816440-0,Star Traders,Food & Beverage,50000000.0
7296703-9,Global International,Textile,500000000.0
2849977-6,Global Holdings,Trading,500000000.0
6222818-2,Apex Enterprises,Real Estate,50000000.0
9766284-0,United Builders,Trading,50000000.0
7470932-9,Capital Associates,Textile,500000000.0
6294302-8,Capital Associates,Food & Beverage,50000000.0
6210208-9,Summit Traders,Food & Beverage,50000000.0
2283237-2,Capital International,Real Estate,50000000.0
4510407-8,Summit (Pvt) Ltd,Food & Beverage,500000000.0
7920599-2,Apex Builders,Import/Export,500000000.0
2892031-2,Apex Industries,Pharmaceuticals,50000000.0
1323402-5,Capital (Pvt) Ltd,Import/Export,50000000.0
5882091-1,Premier Holdings,Logistics,50000000.0
9198847-4,Royal International,Pharmaceuticals,50000000.0
6292721-2,United Builders,Import/Export,50000000.0
6236250-1,Global Enterprises,Logistics,50000000.0
9349070-4,United (Pvt) Ltd,Trading,50000000.0
9254128-6,Summit Builders,Real Estate,50000000.0
9791682-0,Premier Builders,Real Estate,50000000.0
3438775-9,United Builders,Trading,50000000.0
3435643-7,Crescent Associates,Food & Beverage,50000000.0
1231794-9,United Associates,IT Services,50000000.0
2674280-5,Summit (Pvt) Ltd,Logistics,50000000.0
5185170-7,United Builders,Import/Export,50000000.0
5244387-7,Summit Enterprises,Logistics,50000000.0
2911900-8,Star International,Trading,500000000.0
2281426-3,Capital Builders,Trading,50000000.0
5185106-1,Capital Enterprises,Trading,50000000.0
2661949-1,Allied Holdings,Import/Export,50000000.0
3727035-7,Pak International,Real Estate,50000000.0
9950080-9,Crescent Builders,Construction,50000000.0
5815005-3,Global Industries,Food & Beverage,500000000.0
9140528-1,Crescent Holdings,Construction,50000000.0
2730119-7,Capital Builders,Real Estate,50000000.0
4865918-2,Capital Holdings,Trading,500000000.0
2705682-2,Metro Enterprises,IT Services,50000000.0
3394984-9,Royal Traders,Trading,50000000.0
6255160-2,Pak (Pvt) Ltd,Logistics,50000000.0
9130793-7,Summit Holdings,Import/Export,50000000.0
1791809-2,Global Traders,Pharmaceuticals,500000000.0
8184233-3,Pak Holdings,Food & Beverage,500000000.0
5061293-1,Crescent Holdings,Construction,500000000.0
7185212-2,Apex International,Textile,50000000.0
9111471-0,Summit (Pvt) Ltd,Textile,50000000.0
8754454-8,United (Pvt) Ltd,Construction,50000000.0
3297959-3,Global International,Pharmaceuticals,50000000.0
5202320-6,Allied (Pvt) Ltd,Food & Beverage,50000000.0
9026867-7,Star Holdings,Import/Export,50000000.0
1154720-3,Crescent Enterprises,Textile,50000000.0
8583484-4,Royal Traders,Trading,50000000.0
5233585-9,Crescent Traders,Pharmaceuticals,50000000.0
1427389-6,Pak Industries,Textile,500000000.0
2201900-9,Capital (Pvt) Ltd,Food & Beverage,50000000.0
4557255-7,Apex Enterprises,Pharmaceuticals,50000000.0
9790619-3,Pak Industries,Logistics,50000000.0
2845484-5,Royal Enterprises,Real Estate,50000000.0
4791850-3,Pak Enterprises,Food & Beverage,50000000.0
6305409-9,Premier International,Textile,50000000.0
6750672-9,Premier Associates,Logistics,50000000.0
7458137-2,Apex Holdings,Logistics,50000000.0
2850033-2,Royal Builders,Pharmaceuticals,50000000.0
1430662-2,Summit Holdings,Import/Export,50000000.0
2140408-9,Allied Associates,Real Estate,500000000.0
8128754-2,Global International,IT Services,50000000.0
6264339-2,Crescent (Pvt) Ltd,Logistics,500000000.0
5475085-6,Capital International,Textile,50000000.0
6269992-4,Global Traders,Trading,500000000.0
8196996-9,Summit Enterprises,Food & Beverage,50000000.0
2363553-3,Capital Enterprises,Real Estate,50000000.0
1600975-4,Premier Holdings,Trading,50000000.0
2337721-5,Crescent International,Trading,50000000.0
1469318-7,Metro Enterprises,Construction,50000000.0
4043820-6,Apex Holdings,Construction,50000000.0
1007343-6,Pak Industries,Logistics,50000000.0
3015832-9,Apex Traders,Import/Export,50000000.0
6532806-8,Pak Enterprises,Textile,50000000.0
5574151-3,Capital Industries,IT Services,50000000.0
2416255-9,Apex Traders,Real Estate,50000000.0
9897404-2,Global Builders,IT Services,50000000.0
9478786-5,Apex Associates,Real Estate,50000000.0
5275707-1,Crescent Associates,Food & Beverage,50000000.0
5965622-3,Crescent Traders,Trading,50000000.0
3088989-5,Crescent Builders,Pharmaceuticals,50000000.0
9442687-6,Capital Associates,Construction,50000000.0
9520916-4,Star (Pvt) Ltd,IT Services,50000000.0
5356131-5,Premier Enterprises,Trading,50000000.0
3919300-3,Premier Builders,Real Estate,50000000.0
2891089-8,Global Industries,Real Estate,50000000.0
6345078-4,Pak Traders,Real Estate,50000000.0
1687655-7,Crescent Associates,Import/Export,50000000.0
1266121-3,Global Enterprises,Real Estate,50000000.0
4725176-9,Capital Traders,Food & Beverage,50000000.0
3268904-1,Premier Traders,Import/Export,50000000.0
1929311-1,Capital (Pvt) Ltd,Food & Beverage,500000000.0
9350662-8,Crescent Associates,IT Services,500000000.0
6605415-9,Global International,Construction,50000000.0
8444008-8,Crescent Enterprises,Textile,500000000.0
5512791-7,Allied Builders,Textile,50000000.0
5605544-8,Apex Holdings,Food & Beverage,50000000.0
2814115-7,Allied International,Trading,50000000.0
9062458-8,Allied (Pvt) Ltd,Import/Export,500000000.0
8330850-6,Metro (Pvt) Ltd,Construction,50000000.0
4715976-0,Crescent Builders,Real Estate,50000000.0
8052776-0,Metro (Pvt) Ltd,Textile,50000000.0
3124765-2,Royal Traders,IT Services,50000000.0
4136162-7,Premier Holdings,Import/Export,50000000.0
5271407-3,Crescent Enterprises,Construction,500000000.0
1580806-6,Capital Industries,Import/Export,500000000.0
5662703-4,Summit Builders,Pharmaceuticals,500000000.0
3955980-9,Royal Holdings,Food & Beverage,50000000.0
9537060-5,Allied International,Food & Beverage,500000000.0
1641595-3,Allied Enterprises,Construction,500000000.0
3699453-0,Summit Enterprises,IT Services,500000000.0
2557499-3,Crescent Enterprises,Construction,50000000.0
4018211-9,Capital Associates,Textile,50000000.0
8415515-1,Global Associates,IT Services,50000000.0
3844501-9,Allied (Pvt) Ltd,Food & Beverage,50000000.0
5660664-7,Crescent (Pvt) Ltd,Logistics,50000000.0
1760614-5,Apex Enterprises,IT Services,500000000.0
2015742-9,Apex Builders,Pharmaceuticals,50000000.0
3074770-8,Capital Holdings,Food & Beverage,50000000.0
5932783-1,Capital International,Construction,500000000.0
1351575-1,Capital (Pvt) Ltd,Construction,50000000.0
5797628-5,United Holdings,Logistics,500000000.0
3062135-0,Summit Builders,Trading,50000000.0
6496801-2,Premier (Pvt) Ltd,IT Services,500000000.0
9291522-6,Crescent Holdings,Textile,50000000.0
9127761-7,Crescent Enterprises,IT Services,500000000.0
8222850-1,Capital Traders,Textile,50000000.0
5286443-0,Metro Holdings,Food & Beverage,500000000.0
4294258-2,Allied Traders,Trading,50000000.0
7819479-0,Premier Builders,Textile,50000000.0
4385220-8,Pak Holdings,Pharmaceuticals,50000000.0
8784394-8,Star Enterprises,Food & Beverage,50000000.0
6311620-7,United Enterprises,Food & Beverage,50000000.0
1011884-0,Metro Traders,IT Services,50000000.0
8605152-1,Capital Associates,Pharmaceuticals,50000000.0
5995437-3,Star (Pvt) Ltd,Import/Export,50000000.0
9743802-6,Premier Enterprises,Construction,50000000.0
3923715-0,Premier Enterprises,Trading,500000000.0
7076278-4,Apex Traders,Textile,50000000.0
4526025-6,Star (Pvt) Ltd,Textile,50000000.0
8854939-4,Summit Holdings,Textile,50000000.0
9551574-3,United Traders,Trading,50000000.0
1321681-6,Metro Industries,Trading,50000000.0
9767855-8,Capital Traders,Food & Beverage,500000000.0
6561107-3,Premier Industries,Food & Beverage,50000000.0
2680354-0,Summit Traders,Import/Export,50000000.0
5428281-5,Capital Traders,Construction,50000000.0
6072163-0,Capital International,IT Services,50000000.0
3198168-1,Crescent Enterprises,Food & Beverage,500000000.0
9951505-7,Crescent Builders,Textile,50000000.0
8624455-4,Star Traders,Food & Beverage,50000000.0
9414431-3,Royal Industries,Trading,50000000.0
8486735-9,Pak Holdings,Textile,50000000.0
3517835-9,Global Holdings,Logistics,500000000.0
9336249-6,Metro Traders,Import/Export,500000000.0
9052364-8,Summit (Pvt) Ltd,Pharmaceuticals,50000000.0
1569491-6,Global Enterprises,Import/Export,50000000.0
9480177-8,Premier Associates,Real Estate,500000000.0
5033591-3,Global Industries,Real Estate,500000000.0
6503014-6,Metro (Pvt) Ltd,Trading,500000000.0
4291190-3,Crescent (Pvt) Ltd,Trading,500000000.0
9126254-0,Capital Enterprises,Construction,50000000.0
4509478-6,Summit International,Construction,50000000.0
4937912-8,Capital International,Construction,50000000.0
4109700-4,Royal Builders,Food & Beverage,50000000.0
6669371-2,Pak Traders,Real Estate,50000000.0
9794378-0,Star Enterprises,Construction,50000000.0
4516755-2,Star Enterprises,Logistics,50000000.0
9769058-9,Global Enterprises,Trading,50000000.0
1476075-0,Pak Industries,Textile,50000000.0
3167617-3,Global International,Import/Export,50000000.0
9199390-7,Premier Industries,Trading,50000000.0
2587332-0,Pak Builders,IT Services,50000000.0
3034184-5,Summit Builders,Food & Beverage,50000000.0
7717900-2,Metro Traders,Trading,50000000.0
2340389-7,Crescent Industries,Import/Export,50000000.0
2340522-8,Crescent Holdings,Trading,50000000.0
2848445-5,Star International,IT Services,50000000.0
1347637-3,Apex International,Textile,500000000.0
4076021-2,Summit Holdings,IT Services,50000000.0
2221401-6,Allied Associates,Logistics,50000000.0
5227984-6,Metro Builders,IT Services,50000000.0
5568306-9,United Enterprises,Pharmaceuticals,50000000.0
4514470-4,Crescent Enterprises,Textile,500000000.0
1356722-4,Global Traders,Construction,50000000.0
3271867-7,Apex Industries,Pharmaceuticals,50000000.0
7339604-8,Premier International,Logistics,50000000.0
9127380-0,Crescent Builders,Food & Beverage,50000000.0
9714971-1,Summit International,Textile,50000000.0
9681904-1,Global Industries,Textile,50000000.0
7900310-7,Premier Associates,IT Services,50000000.0
5347511-6,Global International,Real Estate,500000000.0
2690276-9,Crescent Holdings,Pharmaceuticals,50000000.0
1368255-1,Global International,IT Services,50000000.0
5514854-3,Metro Enterprises,Textile,50000000.0
7465589-9,Summit Traders,Import/Export,50000000.0
1853139-9,Pak Traders,Food & Beverage,500000000.0
9379323-7,Metro Enterprises,Real Estate,50000000.0
5705649-4,United Industries,Pharmaceuticals,50000000.0
9420312-1,Royal Industries,IT Services,50000000.0
3761939-0,Crescent Holdings,Logistics,50000000.0
2261659-6,United Associates,Textile,500000000.0
2128398-5,Star Builders,Pharmaceuticals,50000000.0
6385090-3,Premier Builders,IT Services,50000000.0
5183750-9,Metro International,IT Services,500000000.0
4298195-1,Metro Enterprises,IT Services,500000000.0
8132317-8,Crescent Builders,Trading,50000000.0
8728242-7,United Builders,IT Services,50000000.0
9487710-9,Allied Enterprises,Pharmaceuticals,50000000.0
1605742-0,Crescent Enterprises,Trading,50000000.0
5203403-2,Summit International,IT Services,50000000.0
7449298-2,Royal Enterprises,IT Services,50000000.0
3532064-0,Allied Builders,Textile,50000000.0
4567959-2,Crescent Holdings,Textile,500000000.0
9512472-9,Star Builders,Logistics,50000000.0
6640838-4,Metro Traders,Construction,500000000.0
7877630-5,Capital International,Logistics,50000000.0
6890128-7,Royal Holdings,Trading,50000000.0
7136872-1,Premier Enterprises,Logistics,50000000.0
4982265-7,Capital Associates,Trading,50000000.0
4227693-2,Apex Industries,Import/Export,500000000.0
7499268-5,Pak International,Textile,500000000.0
4708978-0,Crescent Enterprises,Import/Export,500000000.0
9847255-0,Pak Holdings,Real Estate,500000000.0
3299665-7,Crescent Industries,Textile,50000000.0
7811955-9,Allied (Pvt) Ltd,Construction,50000000.0
4704133-4,United Industries,IT Services,50000000.0
3216894-4,Global Enterprises,Textile,500000000.0
6559810-9,Star Associates,IT Services,50000000.0
2575956-0,Global Traders,Pharmaceuticals,500000000.0
1076561-5,Crescent Industries,Real Estate,50000000.0
2353214-5,Capital Enterprises,Textile,500000000.0
5794980-4,Crescent Holdings,Construction,50000000.0
1736857-0,Star Builders,Food & Beverage,50000000.0
4662489-5,United Builders,Textile,50000000.0
9486508-2,Apex Enterprises,Construction,50000000.0
7438039-1,Allied (Pvt) Ltd,Construction,50000000.0
1731875-9,Pak (Pvt) Ltd,Construction,500000000.0
6457962-5,Apex Industries,Logistics,50000000.0
6771420-2,Apex Holdings,Import/Export,50000000.0
2835951-6,Royal Enterprises,Textile,50000000.0
9903499-4,Allied International,Import/Export,50000000.0
9898532-9,Metro Builders,Import/Export,50000000.0
3723610-9,Pak Holdings,Construction,50000000.0
4567127-2,Apex Builders,Real Estate,50000000.0
2955780-7,Summit Enterprises,Construction,50000000.0
4093026-5,Allied Associates,Textile,50000000.0
2426247-1,Premier Holdings,Pharmaceuticals,50000000.0
4711983-1,Apex (Pvt) Ltd,IT Services,50000000.0
1415047-5,Metro Enterprises,Food & Beverage,50000000.0
7687594-0,Metro Holdings,Pharmaceuticals,500000000.0
6685844-9,Apex Holdings,Pharmaceuticals,50000000.0
5709902-0,Capital Holdings,Construction,50000000.0
4999726-0,Summit Associates,Import/Export,500000000.0
5664250-2,Pak Industries,Real Estate,50000000.0
6099414-9,Capital Builders,Food & Beverage,50000000.0
2204414-4,Capital Industries,Textile,50000000.0
5658964-7,Allied Enterprises,Textile,50000000.0
4310116-4,United Builders,Logistics,50000000.0
2670187-7,Crescent (Pvt) Ltd,IT Services,50000000.0
5994758-3,Crescent Industries,IT Services,500000000.0
1268278-1,Crescent Builders,Logistics,50000000.0
6328275-3,Metro Traders,Textile,50000000.0
5281682-4,Star Associates,Logistics,50000000.0
1087389-2,Pak Industries,Import/Export,50000000.0
9610094-5,Pak Builders,Pharmaceuticals,50000000.0
1328529-6,Apex Traders,Textile,50000000.0
1392384-3,Global Enterprises,Food & Beverage,50000000.0
8822454-8,Global Holdings,Logistics,50000000.0
6811116-3,Allied Enterprises,Trading,50000000.0
4520560-2,Pak Builders,Import/Export,500000000.0
8136049-5,Pak Industries,Food & Beverage,50000000.0
8465774-1,Capital (Pvt) Ltd,Real Estate,50000000.0
9525566-7,Global International,Trading,500000000.0
5017690-3,Crescent Traders,Logistics,50000000.0
7269805-1,Premier Holdings,Import/Export,50000000.0
8705538-4,Royal Builders,Logistics,50000000.0
3227750-2,Royal Traders,Real Estate,50000000.0
4661369-3,Premier Traders,Construction,50000000.0
3030394-8,Allied International,Trading,500000000.0
8631461-0,Crescent Industries,Construction,500000000.0
2155018-6,Pak Enterprises,Trading,50000000.0
4041488-1,Apex Industries,Trading,50000000.0
4490409-2,Capital (Pvt) Ltd,Textile,500000000.0
6997199-5,Global Builders,Logistics,50000000.0
2257771-8,Metro International,Trading,500000000.0
7018893-7,Apex Industries,Food & Beverage,50000000.0
2687494-6,Star Builders,Food & Beverage,500000000.0
5105930-8,United (Pvt) Ltd,IT Services,50000000.0
4791455-5,Allied Traders,Logistics,50000000.0
7770464-9,Global Builders,Construction,50000000.0
3427732-3,Allied Industries,Pharmaceuticals,500000000.0
1312906-5,Royal Enterprises,Textile,50000000.0
5076695-3,Allied International,Logistics,50000000.0
9218851-7,United Associates,Trading,50000000.0
9233330-3,Summit Holdings,Construction,50000000.0
3686417-8,Pak Enterprises,Trading,50000000.0
7007242-9,Crescent Traders,Pharmaceuticals,500000000.0
7752868-7,Apex Enterprises,Pharmaceuticals,50000000.0
9702465-5,Allied (Pvt) Ltd,Trading,500000000.0
7843354-2,Royal Associates,Pharmaceuticals,50000000.0
3569546-4,Apex Enterprises,Import/Export,50000000.0
7029159-4,Apex International,Food & Beverage,50000000.0
3754886-6,Metro (Pvt) Ltd,Trading,50000000.0
3485035-0,Capital Traders,IT Services,50000000.0
6064787-1,United Builders,Real Estate,50000000.0
2917018-4,Pak Builders,IT Services,50000000.0
7596809-1,Crescent Industries,Trading,50000000.0
6212215-2,Global Builders,Real Estate,50000000.0
9813286-7,Apex International,Construction,50000000.0
3120520-2,Star Holdings,Pharmaceuticals,50000000.0
3732291-8,Star Holdings,Construction,50000000.0
9303327-7,Crescent Industries,Food & Beverage,50000000.0
5643274-0,Capital Builders,Real Estate,500000000.0
3524847-5,Star Associates,Logistics,50000000.0
8868189-9,Crescent Associates,Import/Export,500000000.0
